	Keymolnet_disease	ICD10	KEGG_ENTRY	KEGG_Name
KMN489	Mucopolysaccharidosis IS	E76.0	H00128;H00421	Mucopolysaccharidosis type I;Mucopolysaccharidosis
KMN490	Mucopolysaccharidosis IVA	E76.2	H00123;H00130;H00131;H00132;H00421;H02205	Mucopolysaccharidosis type IV;Mucopolysaccharidosis type III;Mucopolysaccharidosis type VI;Mucopolysaccharidosis type VII;Mucopolysaccharidosis;Mucopolysaccharidosis-plus syndrome
KMN491	Mucopolysaccharidosis IVB	E76.2	H00123;H00130;H00131;H00132;H00421;H02205	Mucopolysaccharidosis type IV;Mucopolysaccharidosis type III;Mucopolysaccharidosis type VI;Mucopolysaccharidosis type VII;Mucopolysaccharidosis;Mucopolysaccharidosis-plus syndrome
KMN493	Mucopolysaccharidosis VI	E76.2	H00123;H00130;H00131;H00132;H00421;H02205	Mucopolysaccharidosis type IV;Mucopolysaccharidosis type III;Mucopolysaccharidosis type VI;Mucopolysaccharidosis type VII;Mucopolysaccharidosis;Mucopolysaccharidosis-plus syndrome
KMN492	Mucopolysaccharidosis VII	E76.2	H00123;H00130;H00131;H00132;H00421;H02205	Mucopolysaccharidosis type IV;Mucopolysaccharidosis type III;Mucopolysaccharidosis type VI;Mucopolysaccharidosis type VII;Mucopolysaccharidosis;Mucopolysaccharidosis-plus syndrome
KMN271	Mulibrey Nanism	NO_DATA	H01289	Mulibrey nanism
KMN644	Multifocal Motor Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN559	Multiple Carboxylase/Biotinidase Deficiency	E53.8	H00180;H01182	Holocarboxylase synthetase deficiency;Biotinidase deficiency
KMN169	Multiple Endocrine Neoplasia Type 1	D44.8	H00247;H01102	Multiple endocrine neoplasia syndrome;Pituitary adenomas
KMN170	Multiple Endocrine Neoplasia Type 2	D44.8	H00247;H01102	Multiple endocrine neoplasia syndrome;Pituitary adenomas
KMN870	Multiple Exostosis	NO_DATA	NO_DATA	NO_DATA
KMN122	Multiple Myeloma	NO_DATA	H00010	Multiple myeloma
KMN615	Multiple Sclerosis	NO_DATA	H01490	Multiple sclerosis
KMN558	Multiple Sulfatase Deficiency	NO_DATA	H00272	Multiple sulfatase deficiency
KMN612	Multiple System Atrophy	NO_DATA	H01614	Multiple system atrophy
KMN672	Myasthenia Gravis	NO_DATA	H01594	Myasthenia gravis
KMN234	Mycobacteria Susceptibility	D84.8	H00089;H02308	IFN-gamma/IL-12 axis;Immunodeficiency-centromeric instability-facial anomalies syndrome
KMN114	Mycosis Fungoides	NO_DATA	H01463	Mycosis fungoides
KMN108	Myeloblastic Leukemia with Maturation	C92	NO_DATA	NO_DATA
KMN107	Myeloblastic Leukemia without Maturation	C92	NO_DATA	NO_DATA
KMN162	Myelodysplastic Syndrome	NO_DATA	H01481	Myelodysplastic syndrome
KMN163	Myelofibrosis	NO_DATA	H01605	Myelofibrosis
KMN110	Myelomonocytic Leukemia	C92	NO_DATA	NO_DATA
KMN111	Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils	C92	NO_DATA	NO_DATA
KMN479	Myoadenylate Deaminase Deficiency	E79.2	NO_DATA	NO_DATA
KMN726	Myocardial Infarction	NO_DATA	H01730	Myocardial infarction
KMN690	Myotonia Congenita	NO_DATA	H00705	Myotonia congenita
KMN648	Myotonic Dystrophy Type 1	G71.1	H00493;H00568;H00744;H01777;H01780;H01804	Heparan sulfate proteoglycan gene defects;Myotonic dystrophy;Potassium-aggravated myotonia;Schwartz-Jampel syndrome;Non-dystrophic myotonia;Isaacs syndrome
KMN649	Myotonic Dystrophy Type 2	G71.1	H00493;H00568;H00744;H01777;H01780;H01804	Heparan sulfate proteoglycan gene defects;Myotonic dystrophy;Potassium-aggravated myotonia;Schwartz-Jampel syndrome;Non-dystrophic myotonia;Isaacs syndrome
KMN150	Myxoma	D16.4;D16.5	NO_DATA	NO_DATA
KMN383	N-Acetylglutamate Synthase Deficiency	NO_DATA	H01032	N-acetylglutamate synthase deficiency
KMN659	Na channel myotonia	G71.1	H00493;H00568;H00744;H01777;H01780;H01804	Heparan sulfate proteoglycan gene defects;Myotonic dystrophy;Potassium-aggravated myotonia;Schwartz-Jampel syndrome;Non-dystrophic myotonia;Isaacs syndrome
KMN892	Nail-Patella Syndrome	NO_DATA	H00464	Nail-patella syndrome
KMN660	Nemaline Myopathy	NO_DATA	H00698	Nemaline myopathy
KMN59	Nephroblastoma	NO_DATA	H02301	Nephroblastoma
KMN837	Nephrolithiasis	NO_DATA	NO_DATA	NO_DATA
KMN861	Nephronophthisis	NO_DATA	H00537	Nephronophthisis
KMN24	Nesidioblastosis of Pancreas	C25.4	NO_DATA	NO_DATA
KMN269	Netherton Syndrome	NO_DATA	H00671	Netherton syndrome
KMN76	Neuroblastoma	NO_DATA	H00043	Neuroblastoma
KMN147	Neuroendocrine Tumor	NO_DATA	NO_DATA	NO_DATA
KMN888	Neurofibromatosis Type 1	NO_DATA	H01437	Neurofibromatosis type 1
KMN889	Neurofibromatosis Type 2	NO_DATA	H01438	Neurofibromatosis type 2
KMN688	Neuromyotonia	G71.1	H00493;H00568;H00744;H01777;H01780;H01804	Heparan sulfate proteoglycan gene defects;Myotonic dystrophy;Potassium-aggravated myotonia;Schwartz-Jampel syndrome;Non-dystrophic myotonia;Isaacs syndrome
KMN552	Neuronal ceroid-lipofuscinosis	E75.4	H00149;H02275;H02276;H02277;H02278;H02279	Neuronal ceroid lipofuscinosis;Batten disease;Kufs disease;Santavuori-Haltia disease;Jansky-Bielschowsky disease;Cathepsin D deficiency
KMN237	Neutropenia	D70	H00100;H00939;H01218;H01725	Neutropenic disorders;Darsun syndrome;P14 deficiency;Primary immunodeficiency disease
KMN447	Niemann-Pick Disease	E75.24	NO_DATA	NO_DATA
KMN267	Nijmegen Breakage Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN115	Nodular Lymphocyte-Predominant Hodgkin's Lymphoma	C81.0	NO_DATA	NO_DATA
KMN125	Non-Hodgkin's Lymphoma	NO_DATA	H02418	Non-Hodgkin lymphoma
KMN727	Non-ST-Elevation Myocardial Infarction	NO_DATA	NO_DATA	NO_DATA
KMN30	Non-Small Cell Lung Cancer	NO_DATA	H00014	Non-small cell lung cancer
KMN771	Nonalcoholic Fatty Liver Disease	NO_DATA	NO_DATA	NO_DATA
KMN570	Nonketotic hyperglycinemia-type I	E72.5	H00190;H00191;H01003	Hyperprolinemia;Nonketotic hyperglycinemia;Dimethylglycine dehydrogenase deficiency
KMN57	Nonseminoma	C62	H00023	Testicular cancer
KMN268	Nude Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN373	Obesity	NO_DATA	NO_DATA	NO_DATA
KMN372	Obesity in endocrine disease	NO_DATA	NO_DATA	NO_DATA
KMN668	Oculopharyngeal Muscular Dystrophy	NO_DATA	H00704	Oculopharyngeal muscular dystrophy
KMN69	Oligo-astrocytoma	NO_DATA	NO_DATA	NO_DATA
KMN63	Oligoastrocytoma	NO_DATA	NO_DATA	NO_DATA
KMN70	Oligodendroglioma	NO_DATA	NO_DATA	NO_DATA
KMN263	Omenn Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN817	Oncogenic Osteomalacia	NO_DATA	NO_DATA	NO_DATA
KMN598	Opsoclonus-Myoclonus	G25.3	NO_DATA	NO_DATA
KMN406	Ornithine Transcarbamylase Deficiency	NO_DATA	H00187	Ornithine transcarbamylase deficiency
KMN407	Orotic Aciduria	NO_DATA	H00198	Orotic aciduria
KMN795	Osteoarthritis	NO_DATA	NO_DATA	NO_DATA
KMN142	Osteochondroma	D16.9	NO_DATA	NO_DATA
KMN867	Osteogenesis Imperfecta	NO_DATA	H00506	Osteogenesis imperfecta
KMN871	Osteopetrosis	NO_DATA	H00436	Osteopetrosis
KMN816	Osteoporosis	NO_DATA	H01593	Osteoporosis
KMN32	Osteosarcoma	NO_DATA	H00036	Osteosarcoma
KMN53	Ovarian Cancer	NO_DATA	H00027	Ovarian cancer
KMN351	Ovarian Failure	E28.3	H00627	Premature ovarian failure
KMN89	POEMS Syndrome	D47.7	NO_DATA	NO_DATA
KMN385	PRPP synthetase deficiency	NO_DATA	NO_DATA	NO_DATA
KMN384	PRPP synthetase super-activity	E79.8	H00196;H00964;H00966	Phosphoribosylpyrophosphate synthetase superactivity;Thiopurine S-methyltransferase deficiency (TPMT deficiency);AICA-ribosiduria
KMN819	Paget Disease of Bone	NO_DATA	H00437	Paget disease of bone
KMN22	Pancreatic Cancer	NO_DATA	H00019	Pancreatic cancer
KMN23	Pancreatic Endocrine Tumor	C25.4	NO_DATA	NO_DATA
KMN178	Pancreatic Neuroendocrine Tumor	NO_DATA	H00045	Pancreatic neuroendocrine tumor
KMN349	Panhypopituitarism	E23.0	H00255;H01699;H01700;H01860;H02027;H02035;H02036;H02038;H02039	Hypogonadotropic hypogonadism;Isolated TSH deficiency;Hypopituitarism;Abnormal pituitary gonadotropin secretion;Male hypogonadism;Isolated growth hormone deficiency;Combined pituitary hormone deficiency;X-linked panhypopituitarism;Kowarski syndrome
KMN785	Papular Mucinosis	L98.5	NO_DATA	NO_DATA
KMN689	Paramyotonia Congenita	NO_DATA	H00743	Paramyotonia congenita
KMN608	Paraneoplastic Cerebellar Ataxia	NO_DATA	NO_DATA	NO_DATA
KMN609	Paraneoplastic Cerebellar Degeneration	NO_DATA	NO_DATA	NO_DATA
KMN582	Paraneoplastic Encephalomyelitis	G04	NO_DATA	NO_DATA
KMN703	Paraneoplastic Retinopathy	H36	NO_DATA	NO_DATA
KMN642	Paraneoplastic Sensory Neuronopathy	NO_DATA	NO_DATA	NO_DATA
KMN595	Parkinson's Disease	NO_DATA	H00057	Parkinson disease
KMN194	Paroxysmal Nocturnal Hemoglobinuria	NO_DATA	H01053	Paroxysmal nocturnal hemoglobinuria
KMN844	Pathologic Gynecomastia	NO_DATA	NO_DATA	NO_DATA
KMN364	Pellagra	NO_DATA	H01582	Pellagra
KMN761	Peptic Ulcer Disease	K27.9	NO_DATA	NO_DATA
KMN13	Periodic Fever Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN46	Peripheral Nerve Sheath Tumors	C47	NO_DATA	NO_DATA
KMN126	Peripheral T Cell Lymphoma	NO_DATA	H01892	Peripheral T cell lymphoma
KMN181	Pernicious Anemia	NO_DATA	NO_DATA	NO_DATA
KMN855	Persistent Mullerian Duct syndrome	NO_DATA	H00609	Persistent Mullerian duct syndrome
KMN848	Persistent hyperinsulinemic hypoglycemia of infancy	NO_DATA	NO_DATA	NO_DATA
KMN462	Phenylketonuria Type I	E70.0;E70.1	H00167	Phenylketonuria
KMN461	Phenylketonuria Type II	E70.1	NO_DATA	NO_DATA
KMN460	Phenylketonuria Type III	NO_DATA	NO_DATA	NO_DATA
KMN140	Pheochromocytoma	D35.0	NO_DATA	NO_DATA
KMN473	Phosphoglycerate Dehydrogenase Deficiency	E72.8	H00200;H00834;H00835;H00849;H00923;H01079;H01257;H01283;H02116;H02117;H02196;H02304;H02313	Beta-ureidopropionase deficiency;Guanidinoacetate methyltransferase deficiency;Succinic semialdehyde dehydrogenase deficiency;Cerebral creatine deficiency syndrome;Congenital systemic glutamine deficiency;3-Phosphoglycerate dehydrogenase (3-PGDH) deficiency;GABA-transaminase deficiency;Malonyl-CoA decarboxylase deficiency;Phosphoserine phosphatase deficiency;Neu-Laxova syndrome;X-linked creatine deficiency syndrome;Combined D-2- and L-2-hydroxyglutaric aciduria;5-Oxoprolinase deficiency
KMN472	Phosphoglycerate Kinase Deficiency	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN474	Phosphoglycerate Mutase Deficiency	E74.0	H00069;H00150;H01760;H01762;H01939;H01940;H01941;H01942;H01943;H01944;H01945;H01946;H01948;H01949;H01950;H01951;H01952;H01953;H01954;H01955;H01956	Glycogen storage disease;Danon disease;Hepatic glycogen storage disease;Muscle glycogen storage disease;Glycogen storage disease type I;Glycogen storage disease type II;Glycogen storage disease type III;Glycogen storage disease type IV;Glycogen storage disease type V;Glycogen storage disease type VI;Glycogen storage disease type VII;Glycogen storage disease type XI;Glycogen storage disease type IX;Glycogen storage disease type 0b;Glycogen storage disease type 0a;Glycogen storage disease type X;Glycogen storage disease type XII;Glycogen storage disease type XIII;Glycogen storage disease type XIV;Glycogen storage disease type XV;Glycogen storage disease of heart
KMN72	Pilocytic astrocytoma	NO_DATA	NO_DATA	NO_DATA
KMN157	Pituitary Tumor	D44.3	NO_DATA	NO_DATA
KMN98	Plasma-cell Leukaemia	C90.1	NO_DATA	NO_DATA
KMN210	Plasminogen Activator Inhibitor 1 Deficiency	D68.8	H00983;H01078;H01106;H01697	Alpha-2-plasmin inhibitor (a2-PI) deficiency;Fletcher factor deficiency;Plasminogen activator inhibitor type 1 deficiency;Antiphospholipid syndrome
KMN746	Pneumonia	NO_DATA	NO_DATA	NO_DATA
KMN802	Polyarteritis Nodosa	NO_DATA	H01382	Polyarteritis nodosa
KMN346	Polycystic Ovarian Syndrome	E28.2	H01739	Polycystic ovary syndrome
KMN238	Polycythemia	D75.1	NO_DATA	NO_DATA
KMN165	Polycythemia Vera	NO_DATA	H00012	Polycythemia vera
KMN557	Polygenic Hypercholesterolemia	E78.0	H01383;H01918	Hyperlipoproteinemia type IIa;Familial autosomal recessive hypercholesterolemia
KMN344	Polyglandular Autoimmune Syndrome Type I	E31.0	H01971;H01972	IPEX syndrome;Autoimmune polyendocrinopathy syndrome type 1
KMN345	Polyglandular Autoimmune Syndrome Type II	E31.0	H01971;H01972	IPEX syndrome;Autoimmune polyendocrinopathy syndrome type 1
KMN809	Polymyositis	M33.2	NO_DATA	NO_DATA
KMN149	Polyposis Coli	D12.6	H01023	Juvenile polyposis syndrome
KMN569	Porphyria Cutanea Tarda	E80.1	H00202	Hepatic porphyria
KMN896	Postural Orthostatic Tachycardia Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN881	Prader-Willi Syndrome	NO_DATA	H00478	Prader-Willi syndrome
KMN120	Precursor B Cell Acute Lymphoid Leukemia	C83.5;C91.0	H00001;H00002	B-cell acute lymphoblastic leukemia;T-cell acute lymphoblastic leukemia
KMN121	Precursor T cell Lymphoblastic Lymphoma	C91.0	H00001;H00002	B-cell acute lymphoblastic leukemia;T-cell acute lymphoblastic leukemia
KMN637	Predominant Sensory Demyelinating Neuropathy	NO_DATA	NO_DATA	NO_DATA
KMN847	Preeclampsia	NO_DATA	NO_DATA	NO_DATA
KMN332	Primary Aldosteronism	NO_DATA	H01603	Primary aldosteronism
KMN769	Primary Biliary Cirrhosis	NO_DATA	H01467	Primary biliary cirrhosis
KMN116	Primary Effusion Lymphoma	C83.8	NO_DATA	NO_DATA
KMN534	Primary Hypoalphalipoproteinemia	E78.6	H00158;H00927;H00930	Lecithin:cholesterol acyltransferase deficiency;Chylomicron retention disease;Hypoalphalipoproteinemia
KMN533	Primary Lactase Deficiency	E73.0	H00116	Congenital lactase deficiency
KMN728	Primary Pulmonary Hypertension	NO_DATA	H01619	Primary pulmonary hypertension
KMN119	Primary Testicular Lymphoma	NO_DATA	NO_DATA	NO_DATA
KMN665	Primary merosin deficiency	G71.0	H00562;H00565;H00566;H00585;H00590;H00592;H00593;H00594;H00697;H01778;H01977;H02182;H02513	Dystrophinopathies;Sarcoglycanopathies;Distal myopathy with anterior tibial onset;Epidermolysis bullosa, hemidesmosomal;Congenital muscular dystrophies (CMD/MDC);Calpainopathy;Limb-girdle muscular dystrophy;Distal myopathy;X-linked myopathy with postural muscle atrophy;Ullrich disease;Laing distal myopathy;Distal myopathy, Tateyama type;Oculopharyngodistal myopathy
KMN71	Primitive Neuroectodermal Tumor	NO_DATA	NO_DATA	NO_DATA
KMN343	Progeria	E34.8	H00601;H01733;H01883;H02323;H02480	Hutchinson-Gilford progeria syndrome;Werner syndrome;Nestor-Guillermo progeria syndrome;Ruijs-Aalfs syndrome;Fontaine progeroid syndrome
KMN868	Progressive Diaphyseal Dysplasia	NO_DATA	NO_DATA	NO_DATA
KMN770	Progressive Familial Intrahepatic Cholestasis	NO_DATA	H00624	Progressive familial intrahepatic cholestasis
KMN599	Progressive Supranuclear Palsy	NO_DATA	H00077	Progressive supranuclear palsy
KMN368	Prohormone convertase 1 gene mutation	NO_DATA	NO_DATA	NO_DATA
KMN467	Prolidase Deficiency	NO_DATA	H01119	Prolidase deficiency
KMN466	Propionic Acidemia	NO_DATA	H00175	Propionic acidemia
KMN56	Prostate Cancer	NO_DATA	H00024	Prostate cancer
KMN843	Prostatic hypertrophy	NO_DATA	NO_DATA	NO_DATA
KMN211	Protein C Deficiency	D68.5	H01381	Antithrombin III deficiency
KMN212	Protein S Deficiency	D68.5	H01381	Antithrombin III deficiency
KMN213	Prothrombin Deficiency	D68.4	H00995;H01759	Combined deficiency of vitamin K-dependent clotting factors;Autoimmune hemorrhaphilia XIII/13
KMN528	Pseudohypoaldosteronism	N25.8	H00241;H00243;H00428;H00429;H00694;H02147;H02148;H02149;H02310	Combined proximal and distal renal tubular acidosis;Hyperkalemic distal renal tubular acidosis (RTA type 4);Distal renal tubular acidosis (RTA type 1);Proximal renal tubular acidosis (RTA type 2);Dent disease;X-linked recessive nephrolithiasis with renal failure;Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis;X-linked hypercalciuric nephrolithiasis;Renal tubular acidosis
KMN331	Pseudohypoparathyroidism	NO_DATA	H00244	Pseudohypoparathyroidism
KMN330	Pseudopseudohypoparathyroidism	E20.1	NO_DATA	NO_DATA
KMN783	Psoriasis	NO_DATA	H01656	Psoriasis
KMN787	Psoriatic Arthritis	L40.5	NO_DATA	NO_DATA
KMN757	Pulmonary Alveolar Proteinosis	NO_DATA	H00217	Pulmonary alveolar proteinosis
KMN756	Pulmonary Edema	NO_DATA	NO_DATA	NO_DATA
KMN730	Pulmonary Embolism	I26	NO_DATA	NO_DATA
KMN151	Pulmonary Lymphangioleiomyomatosis	D48.7	NO_DATA	NO_DATA
KMN729	Pulmonary Thromboembolism	I27.2	H01622	Chronic thromboembolic pulmonary hypertension
KMN270	Purine Nucleoside Phosphorylase Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN875	Pyknodysostosis	NO_DATA	NO_DATA	NO_DATA
KMN454	Pyrimidine 5'-Nucleotidase Deficiency	D55.3	H00674	Anemia due to disorders of nucleotide metabolism
KMN455	Pyruvate Kinase Deficiency	NO_DATA	H01096	Pyruvate kinase deficiency
KMN296	Rabson-Mendenhall syndrome	NO_DATA	H00942	Rabson-Mendenhall syndrome
KMN793	Reactive Arthritis	M02.3	NO_DATA	NO_DATA
KMN174	Refractory anemia	D46	NO_DATA	NO_DATA
KMN632	Refsum Disease	NO_DATA	H00075	Refsum disease
KMN821	Relapsing Polychondritis	NO_DATA	H01758	Relapsing polychondritis
KMN60	Renal Cell Carcinoma	NO_DATA	H00021	Renal cell carcinoma
KMN717	Renal Parenchymal Hypertension	NO_DATA	NO_DATA	NO_DATA
KMN842	Renal osteodystrophy	N25.0	NO_DATA	NO_DATA
KMN716	Renovascular Hypertension	I15.0	NO_DATA	NO_DATA
KMN216	Resistance to Activated Protein C	D68.5	H01381	Antithrombin III deficiency
KMN287	Resistance to Thyroid Hormone	E07	NO_DATA	NO_DATA
KMN597	Restless Legs Syndrome	NO_DATA	H01597	Restless legs syndrome
KMN738	Restrictive Cardiomyopathy	NO_DATA	H01219	Restrictive cardiomyopathy
KMN73	Retinoblastoma	NO_DATA	H01513	Retinoblastoma
KMN578	Rett Syndrome	NO_DATA	H00440	Rett syndrome
KMN39	Rhabdomyosarcoma	NO_DATA	H00037	Rhabdomyosarcoma
KMN710	Rheumatic fever	NO_DATA	NO_DATA	NO_DATA
KMN788	Rheumatoid Arthritis	NO_DATA	H00630	Rheumatoid arthritis
KMN353	Rogers' Syndrome	Q21.0	H01926	Ventricular septal defect
KMN503	Rotor's syndrome	NO_DATA	H02057	Rotor syndrome
KMN794	SAPHO Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN720	ST-Segment Elevation Myocardial Infarction	NO_DATA	NO_DATA	NO_DATA
KMN424	Sandhoff's Disease	NO_DATA	H02017	Sandhoff disease
KMN265	Sarcoidosis	NO_DATA	NO_DATA	NO_DATA
KMN423	Sarcosinemia	E72.5	H00190;H00191;H01003	Hyperprolinemia;Nonketotic hyperglycinemia;Dimethylglycine dehydrogenase deficiency
KMN864	Schimke Immuno-Osseous Dysplasia	NO_DATA	NO_DATA	NO_DATA
KMN574	Schizophrenia	NO_DATA	H01649	Schizophrenia
KMN146	Schwannoma	Q85.0	H01986;H02188	Legius syndrome;Watson syndrome
KMN654	Schwartz-Jampel syndrome (chondrodystrophic myotonia)	G71.1	H00493;H00568;H00744;H01777;H01780;H01804	Heparan sulfate proteoglycan gene defects;Myotonic dystrophy;Potassium-aggravated myotonia;Schwartz-Jampel syndrome;Non-dystrophic myotonia;Isaacs syndrome
KMN206	Sebastian syndrome	NO_DATA	H02052	Sebastian syndrome
KMN55	Seminoma	C62.9	NO_DATA	NO_DATA
KMN636	Sensory Neuronopathy	NO_DATA	NO_DATA	NO_DATA
KMN3	Sepsis	A41	NO_DATA	NO_DATA
KMN851	Septo-Optic Dysplasia	NO_DATA	H00544	Septo-optic dysplasia
KMN48	Sertoli Cell Tumor	C56, C62	NO_DATA	NO_DATA
KMN901	Severe Acute Respiratory Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN277	Severe Combined Immunodeficiency	NO_DATA	NO_DATA	NO_DATA
KMN623	Severe myoclonic epilepsy of infancy	G40.4	H00577;H00783;H01258;H01460;H01813;H01818;H01819;H01823;H01827;H02360;H02361;H02472	Symptomatic generalized epilepsies;Febrile seizures;Generalized epilepsy and paroxysmal dyskinesia;West syndrome;Lennox-Gastaut syndrome;Dravet syndrome;Early myoclonic encephalopathy;Myoclonic-astatic epilepsy;Rolandic epilepsy, mental retardation, and speech dyspraxia;Epileptic encephalopathy, childhood-onset;Myoclonic-atonic epilepsy;Early-onset progressive encephalopathy
KMN96	Sezary Syndrome	C84.1	NO_DATA	NO_DATA
KMN425	Sialidosis	NO_DATA	H00142	Sialidosis
KMN284	Sick Euthyroid Syndrome	E07.8	H00249	Thyroid hormone resistance syndrome
KMN191	Sickle Cell Syndrome	D57	H00229	Sickle cell anemia
KMN428	Sitosterolemia	NO_DATA	H00152	Sitosterolemia
KMN799	Sjogren's Syndrome	NO_DATA	H01502	Sjogren syndrome
KMN621	Sleep Apnea	G47.3	H00916	Congenital central hypoventilation syndrome
KMN25	Small Cell Lung Cancer	NO_DATA	H00013	Small cell lung cancer
KMN44	Soft Tissue Sarcoma	C49	H00049;H00052	Myxoid liposarcoma;Clear cell sarcoma of soft tissue
KMN172	Soft Tissue Tumor	D20;D21;D23.5;D24;D48 	NO_DATA	NO_DATA
KMN138	Somatostatinoma Syndrome	C25.4	NO_DATA	NO_DATA
KMN592	Spinal Muscular Atrophy	NO_DATA	H00455	Spinal muscular atrophy
KMN610	Spinocerebellar Ataxia	NO_DATA	NO_DATA	NO_DATA
KMN196	Spur Cell Anemia	NO_DATA	NO_DATA	NO_DATA
KMN28	Squamous Tumor of Lung Cancer	NO_DATA	NO_DATA	NO_DATA
KMN655	Stiff-Person Syndrome	G25.8	H00769;H01287	Hyperekplexia;Congenital mirror movements
KMN852	Subcortical ectopic gray matter	NO_DATA	NO_DATA	NO_DATA
KMN899	Sudden Infant Death Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN435	Sulfocysteinuria	E72.1	H01237;H01285	Sulfite oxidase deficiency;Methylcobalamin deficiency type G
KMN279	Surrogate Light Chain Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN333	Syndrome of Inappropriate Antidiuretic Hormone Secretion	E22.2	H01294;H01682	Nephrogenic syndrome of inappropriate antidiuresis;Syndrome of inappropriate secretion of antidiuretic hormone
KMN40	Synovial Sarcoma	NO_DATA	H00050	Synovial sarcoma
KMN807	Systemic Lupus Erythematosus	NO_DATA	H00080	Systemic lupus erythematosus
KMN891	Systemic Mastocytosis	NO_DATA	NO_DATA	NO_DATA
KMN808	Systemic Sclerosis	NO_DATA	H01492	Systemic sclerosis
KMN90	T-cell Acute Lymphoid Leukemia	C91.0	H00001;H00002	B-cell acute lymphoblastic leukemia;T-cell acute lymphoblastic leukemia
KMN233	TNF-alpha Receptor-associated Periodic Syndrome	E85.0	H00282;H00288;H02484	Cryopyrin associated periodic syndrome;Familial Mediterranean fever;X-linked reticulate pigmentary disorder with systemic manifestations
KMN141	TSH-Secreting Adenomas	D35.2	NO_DATA	NO_DATA
KMN254	T Cell Receptor Deficiency	NO_DATA	NO_DATA	NO_DATA
KMN436	Tangier Disease	NO_DATA	H00159	Tangier disease
KMN442	Tay-Sachs Disease	NO_DATA	H02016	Tay-Sachs disease
KMN159	Teratoma	D13.4;D27;D29.2	NO_DATA	NO_DATA
KMN357	Thiamine Deficiency	E51	NO_DATA	NO_DATA
KMN835	Thin Basement Membrane Nephropathy	N05.8	NO_DATA	NO_DATA
KMN658	Thomsen's Disease	G71.1	H00493;H00568;H00744;H01777;H01780;H01804	Heparan sulfate proteoglycan gene defects;Myotonic dystrophy;Potassium-aggravated myotonia;Schwartz-Jampel syndrome;Non-dystrophic myotonia;Isaacs syndrome
KMN803	Thrombotic Thrombocytopenic Purpura	NO_DATA	H00225	Thrombotic thrombocytopenic purpura
KMN438	Thymidine Phosphorylase Deficiency	G71.3	H00898;H01200;H01348;H01356;H01368;H01369;H01384;H01390;H02201;H02237;H02447	Myopathy with lactic acidosis and sideroblastic anaemia;Fatal infantile cardioencephalomyopathy;Mitochondrial phosphate carrier deficiency;Myoclonic Epilepsy and Ragged-Red Fiber Disease;Cytochrome c oxidase (COX) deficiency;ATP synthase deficiency;Mitochondrial recessive ataxia syndrome;Mitochondrial neurogastrointestinal encephalomyopathy;Mitochondrial myopathy with lactic acidosis;AMP deaminase deficiency;Myopathy with extrapyramidal signs
KMN289	Thyroid Disease	E05	H01645	Hyperthyroidism
KMN75	Thyroid Neoplasia	C73	H00032;H01592	Thyroid cancer;Medullary thyroid cancer
KMN695	Tibial Muscular Dystrophy	NO_DATA	H01976	Tibial muscular dystrophy
KMN273	Transient Hypogammaglobulinemia of Infancy	NO_DATA	NO_DATA	NO_DATA
KMN367	Trichothiodystrophy	NO_DATA	H00866	Trichothiodystrophy
KMN445	Tryptophan Malabsorption	E72.0	H00692;H00843;H00899;H00901;H01198;H01386;H02419	Lowe syndrome;Hartnup disorder;Lysinuric protein intolerance;Cystinuria;Fanconi renotubular syndrome;Asparagine synthetase deficiency;Glycine encephalopathy with normal serum glycine
KMN446	Tryptophanuria	E70.8	H00548;H01233;H01262;H02087	Brunner syndrome;Urocanase deficiency;Formiminotransferase deficiency;Vertebral, cardiac, renal, and limb defects syndrome
KMN2	Tuberculosis	NO_DATA	NO_DATA	NO_DATA
KMN884	Tuberous Sclerosis	NO_DATA	NO_DATA	NO_DATA
KMN62	Turcot Syndrome	NO_DATA	NO_DATA	NO_DATA
KMN292	Type 1 Diabetes Mellitus	NO_DATA	H00408	Type 1 diabetes mellitus
