	Name	ICD10	Count	ICD_class	Disease_english
KMN744	Venous_Thrombosis	NO_DATA	15	I80-I89	Venous Thrombosis
KMN134	Vipoma	NO_DATA	7	D10-D36	Vipoma
KMN9	Viral_Hepatitis	NO_DATA	322	B15-B19	Viral Hepatitis
KMN732	Viral_Myocarditis	B33.22	236	I30-I52	Viral Myocarditis
KMN356	Vitamin_B12_Deficiency	NO_DATA	3	E50-E64	Vitamin B12 Deficiency
KMN898	Vitamin_B1_responsive_congenital_lactic_acidemia	NO_DATA	2	R70-R79	Vitamin B1 responsive congenital lactic acidemia
KMN358	Vitamin_B6_Deficiency	NO_DATA	3	E50-E64	Vitamin B6 Deficiency
KMN360	Vitamin_D-Dependent_Rickets_Type_I	NO_DATA	10	E50-E64	Vitamin D-Dependent Rickets Type I
KMN359	Vitamin_D-Dependent_Rickets_Type_II	NO_DATA	4	E50-E64	Vitamin D-Dependent Rickets Type II
KMN361	Vitamin_D_Deficiency	E55	7	E50-E64	Vitamin D Deficiency
KMN362	Vitamin_E_deficiency	NO_DATA	1	E50-E64	Vitamin E deficiency
KMN363	Vitamin_K_Deficiency	NO_DATA	7	E50-E64	Vitamin K Deficiency
KMN103	Waldenstrom_s_Macroglobulinemia	NO_DATA	3	C81-C96	Waldenstrom's Macroglobulinemia
KMN797	Wegener_s_Granulomatosis	M31.3	28	M30-M36	Wegener's Granulomatosis
KMN651	Welander_Distal_Myopathy	NO_DATA	4	G70-G73	Welander Distal Myopathy
KMN355	Wernicke_s_Encephalopathy	E51.2	2	E50-E64	Wernicke's Encephalopathy
KMN58	Wilms__tumor	NO_DATA	1	C64-C68	Wilms' tumor
KMN400	Wilson_Disease	NO_DATA	18	E70-E90	Wilson Disease
KMN262	Wiskott-Aldrich_Syndrome	D82.0	5	D80-D89	Wiskott-Aldrich Syndrome
KMN401	Wolman_Disease	NO_DATA	6	E70-E90	Wolman Disease
KMN256	X-Linked_Agammaglobulinemia	NO_DATA	1	D80-D89	X-Linked Agammaglobulinemia
KMN386	X-Linked_Hypophosphatemic_Rickets	NO_DATA	10	E70-E90	X-Linked Hypophosphatemic Rickets
KMN276	X-Linked_Immunodeficiency_with_Hyper_IgM	NO_DATA	12	D80-D89	X-Linked Immunodeficiency with Hyper IgM
KMN255	X-Linked_Lymphoproliferative_Syndrome	NO_DATA	1	D80-D89	X-Linked Lymphoproliferative Syndrome
KMN197	X-Linked_Sideroblastic_Anemia	NO_DATA	1	D60-D64	X-Linked Sideroblastic Anemia
KMN586	X-Linked_Spinobulbar_Muscular_Atrophy	NO_DATA	1	G10-G13	X-Linked Spinobulbar Muscular Atrophy
KMN354	X-linked_Recessive_Hypophosphatemic_Rickets	NO_DATA	1	E50-E64	X-linked Recessive Hypophosphatemic Rickets
KMN282	X-linked_TBG_Deficiency	NO_DATA	2	E00-E07	X-linked TBG Deficiency
KMN849	X-linked_lissencephaly	NO_DATA	1	Q00-Q07	X-linked lissencephaly
KMN887	Xeroderma_pigmentosum	Q82.1	6	Q80-Q89	Xeroderma pigmentosum
KMN257	ZAP70_Tyrosine_Kinase_Deficiency	NO_DATA	4	D80-D89	ZAP70 Tyrosine Kinase Deficiency
KMN307	Zollinger-Ellison_Syndrome	NO_DATA	2	E15-E16	Zollinger-Ellison Syndrome
KMN394	alpha-Ketoadipic_Acidemia	NO_DATA	3	E70-E90	alpha-Ketoadipic Acidemia
KMN395	alpha-Mannosidosis	NO_DATA	1	E70-E90	alpha-Mannosidosis
KMN184	alpha-Thalassemia_Syndrome	NO_DATA	2	D55-D59	alpha-Thalassemia Syndrome
KMN396	alpha1_Antitrypsin_Deficiency	NO_DATA	1	E70-E90	alpha1 Antitrypsin Deficiency
KMN93	alpha_Heavy_Chain_Disease	NO_DATA	2	C81-C96	alpha Heavy Chain Disease
KMN470	beta-Enolase_Deficiency	NO_DATA	1	E70-E90	beta-Enolase Deficiency
KMN469	beta-Mannosidosis	NO_DATA	1	E70-E90	beta-Mannosidosis
KMN186	beta-Thalassemia_Syndrome	NO_DATA	9	D55-D59	beta-Thalassemia Syndrome
KMN94	gamma_Heavy_Chain_Disease	NO_DATA	4	C81-C96	gamma Heavy Chain Disease
KMN101	mu_Heavy_Chain_Disease	NO_DATA	1	C81-C96	mu Heavy Chain Disease
KMN879	von_Hippel-Lindau_Syndrome	NO_DATA	1	Q80-Q89	von Hippel-Lindau Syndrome
KMN209	von_Willebrand_s_Disease	D68.0	5	D65-D69	von Willebrand's Disease
